query,token_count,token_entropy,node_count,weighted_node_count,halstead_vocabulary,halstead_length,halstead_estimated_length,halstead_volume,halstead_difficulty,halstead_effort
continents,42,2.90375868570373,35,40,21,35,71.27302875388389,153.73110979725664,8.181818181818182,1257.7999892502814
siblings_and_parents,188,3.5855086732370713,136,169,46,136,208.64999456941564,751.2044260237537,25,18780.110650593844
no_login_users,32,2.8513361342092836,27,34,19,27,62.05374780501027,114.6940428629768,8.25,946.2258536195586
num_valid_sessions,47,3.138349415815353,37,44,25,37,91.12526634448807,171.8226790216648,7.846153846153846,1348.1471738622931
multi_profile_users,40,2.856825363156903,34,39,20,34,66.43856189774725,146.94555522617034,8.5,1249.0372194224478
owned_real_estate_region_count,49,3.0110330478067433,38,43,23,38,81.32499728470782,171.8953543301665,6.538461538461538,1123.9311629280116
profile_counts_by_non_google_user,87,3.126482457340318,68,85,28,68,106.70907526996197,326.90013469991703,13,4249.701751098922
avg_daily_price_by_user_by_booking_length_category,296,3.7182012943155374,227,278,65,227,332.45365709839507,1367.077493557459,26.96590909090909,36864.487411498296
top_n_booked_regions_for_user_x,104,3.6116568559304505,75,88,45,75,204.09280611886868,411.8889822247256,11.535714285714286,4751.433616378085
northest_booked_latitude_slow,160,3.5398289374061687,124,147,47,124,215.94009888466118,688.7690176080271,18.620689655172413,12825.354120977056
northest_booked_latitude_fast,180,3.5720368844074564,129,151,44,129,199.48480779282735,704.2666788042113,16.810344827586206,11838.96572127769
