query,token_count,token_entropy,node_count,weighted_node_count,halstead_vocabulary,halstead_length,halstead_estimated_length,halstead_volume,halstead_difficulty,halstead_effort,elapsed
continents,11.0,2.3978952727983707,7.0,16.0,9.0,9.0,19.60964047443681,28.52932501298081,2.5,71.32331253245202,0.0004870891571044922
siblings_and_parents,86.0,3.0500317377869144,49.0,81.0,23.0,54.0,81.07329781366414,244.2723456270787,14.727272727272727,3597.465453780613,0.0005440711975097656
no_login_users,30.0,2.6072081923870267,13.0,25.0,14.0,16.0,39.50977500432694,60.91767875292167,5.333333333333333,324.8942866822489,0.00021886825561523438
num_valid_sessions,47.0,2.9524369757992663,20.0,34.0,20.0,23.0,66.58307281799108,99.40434618240934,7.333333333333333,728.9652053376685,0.00032901763916015625
multi_profile_users,21.0,2.755549790664179,13.0,25.0,13.0,16.0,35.161259458730164,59.207035490257475,5.25,310.8369363238517,0.000270843505859375
owned_real_estate_region_count,39.0,2.883783456122914,16.0,27.0,16.0,19.0,48.0,76.0,5.5,418.0,0.0030889511108398438
profile_counts_by_non_google_user,56.0,3.0074300155430747,25.0,40.0,21.0,29.0,71.54887502163469,127.37720526058406,6.375,812.0296835362234,0.0003540515899658203
avg_daily_price_by_user_by_booking_length_category,203.0,3.3921406968865817,113.0,157.0,48.0,114.0,223.0669539232489,636.6857250822118,19.193548387096776,12220.258271739227,0.05495023727416992
top_n_booked_regions_for_user_x,59.0,3.2300303161749606,29.0,50.0,23.0,35.0,81.32499728470782,158.32466846199546,7.3076923076923075,1156.987961837659,0.002177715301513672
northest_booked_latitude_slow,60.0,2.9654068028755782,26.0,43.0,22.0,31.0,77.30296890880646,138.24238017775622,4.857142857142857,671.4629894348159,3.3116867542266846
northest_booked_latitude_fast,99.0,3.1510485248657725,45.0,72.0,32.0,51.0,130.29241368336423,255.0,7.333333333333333,1870.0,0.08558917045593262
