query,token_count,token_entropy,node_count,weighted_node_count,halstead_vocabulary,halstead_length,halstead_estimated_length,halstead_volume,halstead_difficulty,halstead_effort
avg_daily_price_by_user_by_booking_length_category,350,3.942370030938462,200,227,85.0,284.0,474.6761307905153,1820.2670258631074,21.126984126984127,38456.752562282476
continents,66,3.2680986992911976,38,44,33.0,57.0,134.01359166423458,287.53046480343187,8.842105263157896,2542.374636156661
multi_profile_users,141,3.6711661166288625,80,87,56.0,112.0,275.61755483688347,650.4237512704516,10.679487179487179,6946.192112926746
no_login_users,74,3.404847129234511,41,48,37.0,58.0,156.71085454414833,302.14829520647913,8.181818181818182,2472.1224153257385
northest_booked_latitude_fast,164,3.711160979452395,93,106,58.0,132.0,290.47733175670794,773.2534913568395,10.666666666666666,8248.03724113962
northest_booked_latitude_slow,151,3.6279636004761366,83,97,53.0,116.0,254.58355561903542,664.438772729331,12.857142857142858,8542.784220805685
num_valid_sessions,63,3.2649993532465267,37,43,33.0,53.0,134.01359166423458,267.35288832599804,8.473684210526315,2265.4639484466147
owned_real_estate_region_count,183,3.6668826285534863,102,115,53.0,142.0,253.68435935793966,813.3647045479743,15.926470588235293,12954.029044492001
profile_counts_by_non_google_user,191,3.7405887690960022,116,135,61.0,153.0,306.0981940870887,907.4028126471217,16.097560975609756,14606.972106026837
siblings_and_parents,181,3.743621424132025,122,146,57.0,163.0,276.5041059561367,950.7610723088528,26.181818181818183,24892.653529540876
top_n_booked_regions_for_user_x,198,3.7737411822813853,119,145,61.0,158.0,304.23818214564824,937.0564993349361,19.46153846153846,18236.561102441447
