,token_count,token_entropy,node_count,weighted_node_count,halstead_vocabulary,halstead_length,halstead_estimated_length,halstead_volume,halstead_difficulty,halstead_effort
token_count,1.0,0.6136265123243528,0.9621238748508429,0.9536266610309252,0.8847144782229923,0.8726508758681125,0.8852670623975588,0.8683697984501453,0.8388871645493887,0.8320272395213325
token_entropy,0.6136265123243528,1.0,0.6915778428534377,0.682220477138454,0.8796753532209409,0.8469639841377409,0.8654247409331387,0.8328068386238747,0.7456478345584402,0.7313097928399598
node_count,0.9621238748508429,0.6915778428534377,1.0,0.9930215127445399,0.8915411458299144,0.9258476908189145,0.8911916682567511,0.9163565899234122,0.9102114001069259,0.9101028094244814
weighted_node_count,0.9536266610309252,0.682220477138454,0.9930215127445399,1.0,0.8705056744100019,0.912242278347134,0.8685873420891815,0.9010315606426589,0.924171086111011,0.9083075306786051
halstead_vocabulary,0.8847144782229923,0.8796753532209409,0.8915411458299144,0.8705056744100019,1.0,0.9496789454804112,0.996934434420079,0.9458200819213921,0.8318340512822673,0.8506693523776275
halstead_length,0.8726508758681125,0.8469639841377409,0.9258476908189145,0.912242278347134,0.9496789454804112,1.0,0.9597101907357647,0.9981378413653614,0.87050445871216,0.9580319873312699
halstead_estimated_length,0.8852670623975588,0.8654247409331387,0.8911916682567511,0.8685873420891815,0.996934434420079,0.9597101907357647,1.0,0.9597977090724988,0.8163277118638679,0.8685456920324874
halstead_volume,0.8683697984501453,0.8328068386238747,0.9163565899234122,0.9010315606426589,0.9458200819213921,0.9981378413653614,0.9597977090724988,1.0,0.8483054172217782,0.9609084420366328
halstead_difficulty,0.8388871645493887,0.7456478345584402,0.9102114001069259,0.924171086111011,0.8318340512822673,0.87050445871216,0.8163277118638679,0.8483054172217782,1.0,0.8739220900354652
halstead_effort,0.8320272395213325,0.7313097928399598,0.9101028094244814,0.9083075306786051,0.8506693523776275,0.9580319873312699,0.8685456920324874,0.9609084420366328,0.8739220900354652,1.0
